"k" "t" "SR"
0.005 0.02 0.500000000025663
0.0075 0.02 0.50000000003811
0.01 0.02 0.500000000050315
0.0125 0.02 0.500000000062288
0.015 0.02 0.500000000074038
0.0175 0.02 0.500000000085577
0.02 0.02 0.500000000096912
0.0225 0.02 0.500000000108053
0.025 0.02 0.50000000011901
0.0275 0.02 0.500000000129789
0.03 0.02 0.500000000140401
0.0325 0.02 0.500000000150852
0.035 0.02 0.500000000161151
0.0375 0.02 0.500000000171306
0.04 0.02 0.500000000181323
0.0425 0.02 0.50000000019121
0.045 0.02 0.500000000200975
0.0475 0.02 0.500000000210622
0.05 0.02 0.50000000022016
0.0525 0.02 0.500000000229595
0.055 0.02 0.500000000238932
0.0575 0.02 0.500000000248179
0.06 0.02 0.50000000025734
0.0625 0.02 0.50000000026642
0.065 0.02 0.500000000275427
0.0675 0.02 0.500000000284365
0.07 0.02 0.500000000293239
0.0725 0.02 0.500000000302054
0.075 0.02 0.500000000310815
0.0775 0.02 0.500000000319528
0.08 0.02 0.500000000328195
0.0825 0.02 0.500000000336823
0.085 0.02 0.500000000345414
0.0875 0.02 0.500000000353975
0.09 0.02 0.500000000362507
0.0925 0.02 0.500000000371016
0.095 0.02 0.500000000379506
0.0975 0.02 0.500000000387979
0.1 0.02 0.500000000396441
0.1025 0.02 0.500000000404894
0.105 0.02 0.500000000413341
0.1075 0.02 0.500000000421787
0.11 0.02 0.500000000430234
0.1125 0.02 0.500000000438685
0.115 0.02 0.500000000447145
0.1175 0.02 0.500000000455615
0.12 0.02 0.500000000464098
0.1225 0.02 0.500000000472599
0.125 0.02 0.500000000481118
0.1275 0.02 0.50000000048966
0.13 0.02 0.500000000498227
0.1325 0.02 0.500000000506821
0.135 0.02 0.500000000515445
0.1375 0.02 0.500000000524102
0.14 0.02 0.500000000532794
0.1425 0.02 0.500000000541523
0.145 0.02 0.500000000550292
0.1475 0.02 0.500000000559103
0.15 0.02 0.500000000567958
0.1525 0.02 0.500000000576859
0.155 0.02 0.50000000058581
0.1575 0.02 0.500000000594811
0.16 0.02 0.500000000603866
0.1625 0.02 0.500000000612975
0.165 0.02 0.500000000622142
0.1675 0.02 0.500000000631368
0.17 0.02 0.500000000640655
0.1725 0.02 0.500000000650005
0.175 0.02 0.500000000659421
0.1775 0.02 0.500000000668903
0.18 0.02 0.500000000678455
0.1825 0.02 0.500000000688078
0.185 0.02 0.500000000697773
0.1875 0.02 0.500000000707543
0.19 0.02 0.50000000071739
0.1925 0.02 0.500000000727315
0.195 0.02 0.50000000073732
0.1975 0.02 0.500000000747408
0.2 0.02 0.500000000757579
0.2025 0.02 0.500000000767837
0.205 0.02 0.500000000778182
0.2075 0.02 0.500000000788616
0.21 0.02 0.500000000799142
0.2125 0.02 0.500000000809761
0.215 0.02 0.500000000820474
0.2175 0.02 0.500000000831285
0.22 0.02 0.500000000842194
0.2225 0.02 0.500000000853204
0.225 0.02 0.500000000864316
0.2275 0.02 0.500000000875533
0.23 0.02 0.500000000886855
0.2325 0.02 0.500000000898286
0.235 0.02 0.500000000909827
0.2375 0.02 0.500000000921479
0.24 0.02 0.500000000933245
0.2425 0.02 0.500000000945127
0.245 0.02 0.500000000957126
0.2475 0.02 0.500000000969246
0.25 0.02 0.500000000981487
0.2525 0.02 0.500000000993852
0.255 0.02 0.500000001006342
0.2575 0.02 0.500000001018961
0.26 0.02 0.50000000103171
0.2625 0.02 0.50000000104459
0.265 0.02 0.500000001057605
0.2675 0.02 0.500000001070757
0.27 0.02 0.500000001084047
0.2725 0.02 0.500000001097479
0.275 0.02 0.500000001111053
0.2775 0.02 0.500000001124773
0.28 0.02 0.500000001138641
0.2825 0.02 0.500000001152659
0.285 0.02 0.50000000116683
0.2875 0.02 0.500000001181156
0.29 0.02 0.50000000119564
0.2925 0.02 0.500000001210284
0.295 0.02 0.500000001225091
0.2975 0.02 0.500000001240063
0.3 0.02 0.500000001255203
0.3025 0.02 0.500000001270514
0.305 0.02 0.500000001285999
0.3075 0.02 0.50000000130166
0.31 0.02 0.5000000013175
0.3125 0.02 0.500000001333522
0.315 0.02 0.500000001349729
0.3175 0.02 0.500000001366125
0.32 0.02 0.500000001382711
0.3225 0.02 0.500000001399492
0.325 0.02 0.50000000141647
0.3275 0.02 0.500000001433649
0.33 0.02 0.500000001451032
0.3325 0.02 0.500000001468622
0.335 0.02 0.500000001486424
0.3375 0.02 0.500000001504439
0.34 0.02 0.500000001522672
0.3425 0.02 0.500000001541127
0.345 0.02 0.500000001559807
0.3475 0.02 0.500000001578715
0.35 0.02 0.500000001597857
0.3525 0.02 0.500000001617235
0.355 0.02 0.500000001636855
0.3575 0.02 0.500000001656719
0.36 0.02 0.500000001676831
0.3625 0.02 0.500000001697198
0.365 0.02 0.500000001717821
0.3675 0.02 0.500000001738707
0.37 0.02 0.50000000175986
0.3725 0.02 0.500000001781283
0.375 0.02 0.500000001802982
0.3775 0.02 0.500000001824963
0.38 0.02 0.500000001847228
0.3825 0.02 0.500000001869785
0.385 0.02 0.500000001892636
0.3875 0.02 0.50000000191579
0.39 0.02 0.500000001939249
0.3925 0.02 0.50000000196302
0.395 0.02 0.500000001987109
0.3975 0.02 0.50000000201152
0.4 0.02 0.500000002036261
0.4025 0.02 0.500000002061336
0.405 0.02 0.500000002086752
0.4075 0.02 0.500000002112516
0.41 0.02 0.500000002138633
0.4125 0.02 0.50000000216511
0.415 0.02 0.500000002191953
0.4175 0.02 0.50000000221917
0.42 0.02 0.500000002246767
0.4225 0.02 0.500000002274753
0.425 0.02 0.500000002303132
0.4275 0.02 0.500000002331914
0.43 0.02 0.500000002361106
0.4325 0.02 0.500000002390715
0.435 0.02 0.500000002420749
0.4375 0.02 0.500000002451217
0.44 0.02 0.500000002482127
0.4425 0.02 0.500000002513488
0.445 0.02 0.500000002545308
0.4475 0.02 0.500000002577595
0.45 0.02 0.500000002610361
0.4525 0.02 0.500000002643613
0.455 0.02 0.50000000267736
0.4575 0.02 0.500000002711614
0.46 0.02 0.500000002746384
0.4625 0.02 0.50000000278168
0.465 0.02 0.500000002817513
0.4675 0.02 0.500000002853893
0.47 0.02 0.500000002890832
0.4725 0.02 0.500000002928341
0.475 0.02 0.500000002966432
0.4775 0.02 0.500000003005115
0.48 0.02 0.500000003044405
0.4825 0.02 0.500000003084312
0.485 0.02 0.50000000312485
0.4875 0.02 0.500000003166032
0.49 0.02 0.500000003207871
0.4925 0.02 0.500000003250382
0.495 0.02 0.500000003293577
0.4975 0.02 0.500000003337472
0.5 0.02 0.500000003382081
0.0025 0.025 0.500000000013243
0.005 0.025 0.500000000026294
0.0075 0.025 0.500000000039167
0.01 0.025 0.500000000051879
0.0125 0.025 0.500000000064441
0.015 0.025 0.50000000007687
0.0175 0.025 0.500000000089177
0.02 0.025 0.500000000101377
0.0225 0.025 0.500000000113481
0.025 0.025 0.500000000125504
0.0275 0.025 0.500000000137457
0.03 0.025 0.500000000149351
0.0325 0.025 0.5000000001612
0.035 0.025 0.500000000173013
0.0375 0.025 0.500000000184804
0.04 0.025 0.500000000196582
0.0425 0.025 0.500000000208359
0.045 0.025 0.500000000220145
0.0475 0.025 0.500000000231952
0.05 0.025 0.500000000243788
0.0525 0.025 0.500000000255665
0.055 0.025 0.500000000267592
0.0575 0.025 0.500000000279579
0.06 0.025 0.500000000291637
0.0625 0.025 0.500000000303775
0.065 0.025 0.500000000316002
0.0675 0.025 0.500000000328328
0.07 0.025 0.500000000340762
0.0725 0.025 0.500000000353314
0.075 0.025 0.500000000365994
0.0775 0.025 0.500000000378809
0.08 0.025 0.50000000039177
0.0825 0.025 0.500000000404886
0.085 0.025 0.500000000418166
0.0875 0.025 0.50000000043162
0.09 0.025 0.500000000445255
0.0925 0.025 0.500000000459082
0.095 0.025 0.500000000473111
0.0975 0.025 0.500000000487349
0.1 0.025 0.500000000501807
0.1025 0.025 0.500000000516494
0.105 0.025 0.50000000053142
0.1075 0.025 0.500000000546593
0.11 0.025 0.500000000562025
