"G" "X" "Y" "A" "D" "O"
288 0.386080518331875 5.62450066170468e-15 0.613919481668119 0.609094352442547 0.329777878188657
289 0.3860641060418 4.67893600827993e-15 0.613935893958196 0.609091333135778 0.329830982976044
290 0.386048072948926 3.89223830183897e-15 0.61395192705107 0.609088382168714 0.329882863108269
291 0.386032410202448 3.23773404323799e-15 0.613967589797549 0.60908549801112 0.329933547065729
292 0.386017109162154 2.69322476192228e-15 0.613982890837843 0.609082679166202 0.329983062655846
293 0.386002161393244 2.24023687656433e-15 0.613997838606754 0.609079924169927 0.330031437029437
294 0.385987558661272 1.86339718022664e-15 0.614012441338726 0.609077231590337 0.330078696696666
295 0.38597329292723 1.5499129343599e-15 0.614026707072769 0.609074600026893 0.330124867542596
296 0.385959356342745 1.28913906745419e-15 0.614040643657253 0.609072028109814 0.330169974842331
297 0.385945741245422 1.07221789971746e-15 0.614054258754576 0.609069514499439 0.330214043275787
298 0.385932440154286 8.9177925239003e-16 0.614067559845713 0.609067057885595 0.33025709694208
299 0.385919445765356 7.41690830605137e-16 0.614080554234643 0.609064656986981 0.330299159373554
300 0.385906750947324 6.16850459919188e-16 0.614093249052675 0.609062310550557 0.330340253549451
301 0.385894348737355 5.1301316531543e-16 0.614105651262645 0.609060017350952 0.330380401909241
302 0.385882232336984 4.26647254765997e-16 0.614117767663016 0.609057776189873 0.330419626365613
303 0.385870395108124 3.54814546604251e-16 0.614129604891875 0.609055585895539 0.330457948317139
304 0.385858830569179 2.95070693749999e-16 0.614141169430821 0.60905344532211 0.330495388660626
305 0.385847532391243 2.45382235525362e-16 0.614152467608756 0.609051353349141 0.33053196780315
306 0.385836494394414 2.04057572130871e-16 0.614163505605586 0.609049308881035 0.330567705673799
307 0.385825710544185 1.6968952676005e-16 0.614174289455814 0.609047310846516 0.330602621735115
308 0.385815174947937 1.41107551596445e-16 0.614184825052062 0.609045358198105 0.330636734994254
309 0.385804881851517 1.17337959706272e-16 0.614195118148483 0.609043449911611 0.330670064013874
310 0.3857948256359 9.75708360640657e-17 0.6142051743641 0.609041584985629 0.330702626922742
