"kD" "kA" "SR"
0.145 0.0075 0.50000020462609
0.1475 0.0075 0.500000204631275
0.15 0.0075 0.500000204559237
0.1525 0.0075 0.500000204411958
0.155 0.0075 0.50000020419141
0.1575 0.0075 0.500000203899551
0.16 0.0075 0.500000203538328
0.1625 0.0075 0.500000203109674
0.165 0.0075 0.500000202615512
0.1675 0.0075 0.50000020205775
0.17 0.0075 0.500000201438283
0.1725 0.0075 0.500000200758994
0.175 0.0075 0.50000020002175
0.1775 0.0075 0.500000199228405
0.18 0.0075 0.5000001983808
0.1825 0.0075 0.500000197480761
0.185 0.0075 0.500000196530099
0.1875 0.0075 0.500000195530609
0.19 0.0075 0.500000194484073
0.1925 0.0075 0.500000193392256
0.195 0.0075 0.50000019225691
0.1975 0.0075 0.500000191079767
0.2 0.0075 0.500000189862548
0.2025 0.0075 0.500000188606953
0.205 0.0075 0.500000187314669
0.2075 0.0075 0.500000185987365
0.21 0.0075 0.500000184626693
0.2125 0.0075 0.500000183234289
0.215 0.0075 0.500000181811771
0.2175 0.0075 0.50000018036074
0.22 0.0075 0.500000178882779
0.2225 0.0075 0.500000177379453
0.225 0.0075 0.500000175852312
0.2275 0.0075 0.500000174302883
0.23 0.0075 0.500000172732678
0.2325 0.0075 0.500000171143191
0.235 0.0075 0.500000169535896
0.2375 0.0075 0.500000167912248
0.24 0.0075 0.500000166273686
0.2425 0.0075 0.500000164621626
0.245 0.0075 0.500000162957469
0.2475 0.0075 0.500000161282594
0.25 0.0075 0.500000159598362
0.2525 0.0075 0.500000157906114
0.255 0.0075 0.500000156207172
0.2575 0.0075 0.500000154502839
0.26 0.0075 0.500000152794397
0.2625 0.0075 0.50000015108311
0.265 0.0075 0.500000149370222
0.2675 0.0075 0.500000147656955
0.27 0.0075 0.500000145944513
0.2725 0.0075 0.500000144234082
0.275 0.0075 0.500000142526824
0.2775 0.0075 0.500000140823884
0.28 0.0075 0.500000139126386
0.2825 0.0075 0.500000137435436
0.285 0.0075 0.500000135752116
0.2875 0.0075 0.500000134077493
0.29 0.0075 0.500000132412612
0.2925 0.0075 0.500000130758496
0.295 0.0075 0.500000129116153
0.2975 0.0075 0.500000127486568
0.3 0.0075 0.500000125870707
0.3025 0.0075 0.500000124269517
0.305 0.0075 0.500000122683926
0.3075 0.0075 0.500000121114842
0.31 0.0075 0.500000119563153
0.3125 0.0075 0.500000118029732
0.315 0.0075 0.500000116515428
0.3175 0.0075 0.500000115021076
0.32 0.0075 0.500000113547487
0.3225 0.0075 0.500000112095461
0.325 0.0075 0.500000110665773
0.3275 0.0075 0.500000109259185
0.33 0.0075 0.500000107876439
0.3325 0.0075 0.50000010651826
0.335 0.0075 0.500000105185357
0.3375 0.0075 0.50000010387842
0.34 0.0075 0.500000102598125
0.3425 0.0075 0.500000101345132
0.345 0.0075 0.500000100120081
0.3475 0.0075 0.500000098923602
0.35 0.0075 0.500000097756306
0.3525 0.0075 0.500000096618791
0.355 0.0075 0.500000095511641
0.3575 0.0075 0.500000094435425
0.36 0.0075 0.500000093390698
0.3625 0.0075 0.500000092378004
0.365 0.0075 0.500000091397873
0.3675 0.0075 0.500000090450824
0.37 0.0075 0.500000089537363
0.3725 0.0075 0.500000088657987
0.375 0.0075 0.50000008781318
0.3775 0.0075 0.50000008700342
0.38 0.0075 0.500000086229172
0.3825 0.0075 0.500000085490894
0.385 0.0075 0.500000084789037
0.3875 0.0075 0.500000084124043
0.39 0.0075 0.500000083496349
0.3925 0.0075 0.500000082906386
0.395 0.0075 0.500000082354578
0.3975 0.0075 0.500000081841349
0.4 0.0075 0.500000081367115
0.4025 0.0075 0.500000080932292
0.405 0.0075 0.500000080537294
0.4075 0.0075 0.500000080182533
0.41 0.0075 0.500000079868424
0.4125 0.0075 0.50000007959538
0.415 0.0075 0.500000079363818
0.4175 0.0075 0.500000079174158
0.42 0.0075 0.500000079026825
0.4225 0.0075 0.500000078922246
0.425 0.0075 0.500000078860859
0.4275 0.0075 0.500000078843108
0.43 0.0075 0.500000078869446
0.4325 0.0075 0.500000078940335
0.435 0.0075 0.500000079056252
0.4375 0.0075 0.500000079217685
0.44 0.0075 0.500000079425135
0.4425 0.0075 0.500000079679124
0.445 0.0075 0.500000079980186
0.4475 0.0075 0.500000080328878
0.45 0.0075 0.500000080725777
0.4525 0.0075 0.500000081171481
0.455 0.0075 0.500000081666615
0.4575 0.0075 0.50000008221183
0.46 0.0075 0.500000082807804
0.4625 0.0075 0.500000083455246
0.465 0.0075 0.500000084154898
0.4675 0.0075 0.500000084907537
0.47 0.0075 0.500000085713976
0.4725 0.0075 0.500000086575068
0.475 0.0075 0.500000087491708
0.4775 0.0075 0.500000088464836
0.48 0.0075 0.500000089495439
0.4825 0.0075 0.500000090584555
0.485 0.0075 0.500000091733273
0.4875 0.0075 0.500000092942741
0.49 0.0075 0.500000094214166
0.4925 0.0075 0.500000095548817
0.495 0.0075 0.500000096948031
0.4975 0.0075 0.500000098413213
0.5 0.0075 0.500000099945846
0.0025 0.01 0.500000008135974
0.005 0.01 0.500000016069031
0.0075 0.01 0.500000023801502
0.01 0.01 0.500000031335725
0.0125 0.01 0.500000038674037
0.015 0.01 0.500000045818781
0.0175 0.01 0.500000052772302
0.02 0.01 0.500000059536946
0.0225 0.01 0.500000066115065
0.025 0.01 0.500000072509011
0.0275 0.01 0.500000078721138
0.03 0.01 0.500000084753802
0.0325 0.01 0.500000090609363
0.035 0.01 0.50000009629018
0.0375 0.01 0.500000101798613
0.04 0.01 0.500000107137026
0.0425 0.01 0.500000112307782
0.045 0.01 0.500000117313246
0.0475 0.01 0.50000012215578
0.05 0.01 0.500000126837752
0.0525 0.01 0.500000131361526
0.055 0.01 0.500000135729467
0.0575 0.01 0.500000139943942
0.06 0.01 0.500000144007314
0.0625 0.01 0.500000147921948
0.065 0.01 0.500000151690207
0.0675 0.01 0.500000155314455
0.07 0.01 0.500000158797053
0.0725 0.01 0.500000162140361
0.075 0.01 0.500000165346738
0.0775 0.01 0.500000168418542
0.08 0.01 0.500000171358127
0.0825 0.01 0.500000174167849
0.085 0.01 0.500000176850057
0.0875 0.01 0.500000179407102
0.09 0.01 0.50000018184133
0.0925 0.01 0.500000184155084
0.095 0.01 0.500000186350707
0.0975 0.01 0.500000188430538
0.1 0.01 0.500000190396911
0.1025 0.01 0.500000192252159
0.105 0.01 0.500000193998612
0.1075 0.01 0.500000195638594
0.11 0.01 0.500000197174428
0.1125 0.01 0.500000198608432
0.115 0.01 0.500000199942921
0.1175 0.01 0.500000201180206
0.12 0.01 0.500000202322594
0.1225 0.01 0.500000203372386
0.125 0.01 0.500000204331884
0.1275 0.01 0.50000020520338
0.13 0.01 0.500000205989165
0.1325 0.01 0.500000206691526
0.135 0.01 0.500000207312743
0.1375 0.01 0.500000207855093
0.14 0.01 0.500000208320851
0.1425 0.01 0.500000208712284
0.145 0.01 0.500000209031656
0.1475 0.01 0.500000209281227
0.15 0.01 0.500000209463252
0.1525 0.01 0.500000209579982
0.155 0.01 0.500000209633664
0.1575 0.01 0.500000209626541
0.16 0.01 0.50000020956085
0.1625 0.01 0.500000209438826
0.165 0.01 0.5000002092627
