"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D1O" "A2D1O" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y" "A1D2O" "A2D2O"
111 0.274365686584523 0.00306000330583863 2.71252792153392e-06 3.5615669475717e-08 0.334311501755521 0.00355770714221352 0.000435051242398506 0.0957405370246798 5.25258754212511e-09 8.28862194608646e-07 0.00130514847460797 0.287220776423415
112 0.274355926999802 0.00298525075613346 2.20048622479862e-06 2.80945489103839e-08 0.334327425701 0.00347486722829542 0.000436387065874245 0.0957771881176245 4.27511469857801e-09 6.72869985298208e-07 0.00130915692250804 0.28733088678107
113 0.274347378668751 0.00291588815677741 1.7849588831998e-06 2.21884168187277e-08 0.334342553675991 0.00339799050069782 0.000437650655521389 0.0958109448070994 3.47859672596538e-09 5.46160055122514e-07 0.00131294848796744 0.287432284442773
114 0.27433990005212 0.00285152753684899 1.44778980932969e-06 1.75446812392518e-08 0.334356910802279 0.00332664922449053 0.000438845646729912 0.0958420411157129 2.82976076200698e-09 4.43254780308514e-07 0.00131653411042897 0.287525676991813
115 0.274333365597762 0.00279180875761854 1.17422943579236e-06 1.38889611527024e-08 0.334370522907418 0.00326044611309911 0.000439975519196611 0.0958706916072297 2.30139769681987e-09 3.59696335634483e-07 0.00131992425619214 0.287611712608152
116 0.27432766398034 0.0027363975284043 9.52297817079665e-07 1.10074847205418e-08 0.334383416380541 0.00319901219684741 0.000441043600631229 0.0958970930515102 1.87127012411675e-09 2.91858071264685e-07 0.00132312893062356 0.287690985253148
117 0.274322696529693 0.00268498356231744 7.72266244518633e-07 8.73349906960424e-09 0.334395618015273 0.00314200483491389 0.000442053070747664 0.095921425943767 1.52121382519274e-09 2.36790461009422e-07 0.00132615769102917 0.287764039382426
118 0.274318375828396 0.00263727886221641 6.26235463568992e-07 6.93676790617314e-09 0.334407154849372 0.00308910586205023 0.000443006965478841 0.0959438558909549 1.23639924812e-09 1.92095366961187e-07 0.00132901966003728 0.287831374231643
119 0.274314624460929 0.00259301612784059 5.07792597743301e-07 5.51544759394877e-09 0.334418054007937 0.0030400198617418 0.00044390818136108 0.0959645348770154 1.00472507075334e-09 1.55823476172089e-07 0.00133172353935817 0.287893447715492
120 0.274311373898601 0.00255194727570165 4.11732171794014e-07 4.38979669179671e-09 0.334428342554941 0.00299447255785151 0.000444759480040301 0.0959836024176939 8.16320664377226e-10 1.26390684005588e-07 0.00133427762380024 0.287950679976335
