"kD" "kA" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.24 0.04 0.5 0.5 0.5 0.500000052117127 0.500004406639268 0.502416482946271 0.500019727741688 0.501469769679444 0.517423605521103
0.25 0.04 0.5 0.5 0.5 0.500000051345616 0.500007175075331 0.503660937063312 0.50002100757371 0.502212873983587 0.51799692274165
0.26 0.04 0.5 0.5 0.5 0.500000050452367 0.500012007613742 0.50514066132725 0.500022356121212 0.503182914117274 0.518446877447973
0.27 0.04 0.5 0.5 0.5 0.50000004944968 0.500020620092781 0.506672329610887 0.500023780394571 0.504306519322611 0.518804392517602
0.28 0.04 0.5 0.5 0.5 0.500000048349592 0.500036258809899 0.508076413919611 0.5000252883272 0.505451919253238 0.519093373899566
0.29 0.04 0.5 0.5 0.5 0.500000047163858 0.500065096584486 0.509255945254384 0.500026888921241 0.506497482250867 0.519331837040707
0.3 0.04 0.5 0.5 0.5 0.500000045903922 0.500118801135281 0.510199880446964 0.500028592419999 0.507385994878462 0.519533055229787
0.31 0.04 0.5 0.5 0.5 0.500000044580897 0.500218858572619 0.510944356330712 0.500030410512663 0.508122374816951 0.519706613957885
0.32 0.04 0.5 0.5 0.5 0.500000043205541 0.500402394149875 0.5115377348159 0.500032356578167 0.508740832153609 0.519859322292765
0.33 0.04 0.5 0.5 0.5 0.500000041788236 0.500725349055581 0.512023051502653 0.500034445976614 0.509278003408244 0.519995962422161
0.34 0.04 0.5 0.5 0.5 0.50000004033897 0.501250178967939 0.512432929801562 0.500036696398718 0.509761849869597 0.520119878389419
0.35 0.04 0.5 0.5 0.5 0.50000003886732 0.502002864885301 0.512790148239996 0.500039128286168 0.510210542965107 0.520233419065904
0.36 0.04 0.5 0.5 0.5 0.500000037382436 0.502921461427745 0.513109891872362 0.500041765339013 0.510634863607062 0.520338258496296
0.37 0.04 0.5 0.5 0.5 0.500000035893028 0.503871391289339 0.51340202737667 0.500044635130037 0.511040879574211 0.520435619394157
0.38 0.04 0.5 0.5 0.5 0.500000034407358 0.504735605982522 0.513672899214254 0.50004776985102 0.511431923282999 0.520526424201636
0.39 0.04 0.5 0.5 0.5 0.500000032933234 0.505472303417435 0.513926603269096 0.500051207221909 0.511809831736897 0.520611394489723
0.4 0.04 0.5 0.5 0.5 0.500000031478007 0.506096244216471 0.514165836226998 0.500054991601494 0.512175657343398 0.520691115025043
0.41 0.04 0.5 0.5 0.5 0.500000030048575 0.50663927626636 0.514392438861076 0.500059175347566 0.512530053433841 0.520766074539225
0.42 0.04 0.5 0.5 0.5 0.50000002865139 0.507128859227893 0.514607732544804 0.500063820485889 0.512873475821878 0.520836691612743
0.43 0.04 0.5 0.5 0.5 0.500000027292473 0.507583232560161 0.514812722244182 0.500069000760929 0.513206285418171 0.520903331288201
0.44 0.04 0.5 0.5 0.5 0.500000025977436 0.508013126007729 0.515008216323304 0.500074804157069 0.513528799241921 0.520966316013938
0.45 0.04 0.5 0.5 0.5 0.500000024711517 0.508424485060104 0.515194896116008 0.500081335996503 0.513841315034854 0.521025933148529
0.46 0.04 0.5 0.5 0.5 0.500000023499616 0.508820544059832 0.515373356013001 0.500088722737764 0.514144122565038 0.521082440368489
0.47 0.04 0.5 0.5 0.5 0.500000022346356 0.509203103840973 0.515544126684443 0.500097116613877 0.514437508326912 0.521136069769454
