"k" "c" "DF"
0.38 0.53 0.0395924322870344
0.385 0.53 0.0391419622839297
0.39 0.53 0.038702317398689
0.395 0.53 0.0382731123663674
0.4 0.53 0.0378539800244995
0.405 0.53 0.037444570259495
0.41 0.53 0.0370445490259981
0.415 0.53 0.0366535974333692
0.42 0.53 0.0362714108939706
0.425 0.53 0.0358976983284172
0.43 0.53 0.0355321814233817
0.435 0.53 0.0351745939379327
0.44 0.53 0.0348246810547301
0.445 0.53 0.0344821987727217
0.45 0.53 0.0341469133382653
0.455 0.53 0.0338186007118638
0.46 0.53 0.0334970460679289
0.465 0.53 0.0331820433252099
0.47 0.53 0.0328733947057046
0.475 0.53 0.0325709103200576
0.48 0.53 0.0322744077776007
0.485 0.53 0.0319837118193416
0.49 0.53 0.0316986539723359
0.495 0.53 0.0314190722239996
0.5 0.53 0.031144810715032
0.005 0.535 4.65318259472605e-05
0.01 0.535 6.50448284811566e-05
0.015 0.535 9.1692657091302e-05
0.02 0.535 0.000130207786653344
0.025 0.535 0.000186103078645441
0.03 0.535 0.000267547497973893
0.035 0.535 0.000386679748954725
0.04 0.535 0.000561575285307775
0.045 0.535 0.00081917693158988
0.05 0.535 0.00119961682108323
0.055 0.535 0.00176247137735161
0.06 0.535 0.00259551384484729
0.065 0.535 0.00382623050109885
0.07 0.535 0.00563523571762477
0.075 0.535 0.00826781905448292
0.08 0.535 0.0120340097299186
0.085 0.535 0.0172789037007979
0.09 0.535 0.0242994975095643
0.095 0.535 0.0331988053532389
0.1 0.535 0.0437210097121182
0.105 0.535 0.0551799025397097
0.11 0.535 0.0665853685425735
0.115 0.535 0.0769356144094959
0.12 0.535 0.0855023004197004
0.125 0.535 0.0919574364210649
0.13 0.535 0.0963305523106524
0.135 0.535 0.0988803355990237
0.14 0.535 0.0999641528339574
0.145 0.535 0.0999454705622543
0.15 0.535 0.0991437052523177
0.155 0.535 0.0978156285353327
0.16 0.535 0.0961553402623363
0.165 0.535 0.0943029168824669
0.17 0.535 0.0923556725527877
0.175 0.535 0.0903789220362014
0.18 0.535 0.0884149846395677
0.185 0.535 0.0864901657545602
0.19 0.535 0.0846199083802321
0.195 0.535 0.0828124624403935
0.2 0.535 0.0810714288270187
0.205 0.535 0.0793974848465304
0.21 0.535 0.0777895321023004
0.215 0.535 0.0762454463185162
0.22 0.535 0.0747625580220003
0.225 0.535 0.0733379542481302
0.23 0.535 0.0719686630470961
0.235 0.535 0.0706517623996761
0.24 0.535 0.0693844411529189
0.245 0.535 0.0681640300463257
0.25 0.535 0.0669880144984307
0.255 0.535 0.0658540365880592
0.26 0.535 0.0647598908974374
0.265 0.535 0.06370351709886
0.27 0.535 0.0626829910288075
0.275 0.535 0.0616965152776836
0.28 0.535 0.0607424098794202
0.285 0.535 0.0598191034142609
0.29 0.535 0.0589251246758526
0.295 0.535 0.0580590949590847
0.3 0.535 0.0572197209717515
0.305 0.535 0.0564057883446163
0.31 0.535 0.0556161557006562
0.315 0.535 0.0548497492389229
0.32 0.535 0.054105557787827
0.325 0.535 0.0533826282844714
0.33 0.535 0.0526800616396887
0.335 0.535 0.0519970089518819
0.34 0.535 0.0513326680362794
0.345 0.535 0.050686280239544
0.35 0.535 0.050057127512782
0.355 0.535 0.0494445297187793
0.36 0.535 0.0488478421518176
0.365 0.535 0.0482664532506662
0.37 0.535 0.0476997824873328
0.375 0.535 0.0471472784159379
0.38 0.535 0.0466084168676482
0.385 0.535 0.0460826992790036
0.39 0.535 0.0455696511422199
0.395 0.535 0.0450688205671582
0.4 0.535 0.0445797769456372
0.405 0.535 0.0441021097096539
0.41 0.535 0.0436354271758618
0.415 0.535 0.0431793554693689
0.42 0.535 0.0427335375205447
0.425 0.535 0.0422976321291034
0.43 0.535 0.0418713130902329
0.435 0.535 0.0414542683780105
0.44 0.535 0.0410461993817502
0.445 0.535 0.040646820191312
0.45 0.535 0.0402558569277355
0.455 0.535 0.0398730471158684
0.46 0.535 0.0394981390959396
0.465 0.535 0.0391308914712764
0.47 0.535 0.038771072589595
0.475 0.535 0.0384184600555006
0.48 0.535 0.0380728402720213
0.485 0.535 0.0377340080091755
0.49 0.535 0.0374017659977243
0.495 0.535 0.037075924546408
0.5 0.535 0.0367563011810933
0.005 0.54 4.96651779504776e-05
0.01 0.54 7.30308381008726e-05
0.015 0.54 0.000108455236201421
0.02 0.54 0.00016241990061088
0.025 0.54 0.000245016744788894
0.03 0.54 0.000372013694793169
0.035 0.54 0.000568113450562363
0.04 0.54 0.000872071483428186
0.045 0.54 0.0013446505737368
0.05 0.54 0.00208073009807281
0.055 0.54 0.00322702597444764
0.06 0.54 0.00500610507971798
0.065 0.54 0.0077439713899685
0.07 0.54 0.0118892035469093
0.075 0.54 0.0179931098096135
0.08 0.54 0.0265982380667784
0.085 0.54 0.0379913634314019
0.09 0.54 0.0518786056184826
0.095 0.54 0.0672149495620646
0.1 0.54 0.082433913378775
0.105 0.54 0.0960003280194596
0.11 0.54 0.10689712682008
0.115 0.54 0.114771998143982
0.12 0.54 0.119795912454625
0.125 0.54 0.122426478116702
0.13 0.54 0.123209729368548
0.135 0.54 0.122659613260892
0.14 0.54 0.121203629445814
0.145 0.54 0.119170367433415
0.15 0.54 0.116798404143512
0.155 0.54 0.114253282090337
0.16 0.54 0.111645368068233
0.165 0.54 0.109045379582923
0.17 0.54 0.106496611512574
0.175 0.54 0.104023983999626
0.18 0.54 0.101640452919612
0.185 0.54 0.0993514044234104
0.19 0.54 0.0971575877837002
0.195 0.54 0.0950570273226442
0.2 0.54 0.0930462413774361
0.205 0.54 0.0911210017631481
0.21 0.54 0.0892767946744538
0.215 0.54 0.0875090912341179
0.22 0.54 0.0858134989453665
0.225 0.54 0.0841858401227433
0.23 0.54 0.0826221865915323
0.235 0.54 0.0811188689680894
0.24 0.54 0.0796724717738676
0.245 0.54 0.0782798211672338
0.25 0.54 0.0769379692917528
0.255 0.54 0.075644177530534
0.26 0.54 0.074395899925014
0.265 0.54 0.0731907674060165
0.27 0.54 0.0720265731316742
0.275 0.54 0.070901259028373
0.28 0.54 0.0698129035241521
0.285 0.54 0.068759710410442
0.29 0.54 0.067739998744611
0.295 0.54 0.0667521936989147
0.3 0.54 0.0657948182631805
0.305 0.54 0.0648664857144679
0.31 0.54 0.0639658927745338
0.315 0.54 0.0630918133838645
0.32 0.54 0.062243093028708
0.325 0.54 0.0614186435645697
0.33 0.54 0.0606174384860099
0.335 0.54 0.0598385085982153
0.34 0.54 0.0590809380508165
0.345 0.54 0.0583438606988087
0.35 0.54 0.0576264567592974
0.355 0.54 0.0569279497361788
0.36 0.54 0.0562476035878552
0.365 0.54 0.0555847201157106
0.37 0.54 0.054938636553396
0.375 0.54 0.054308723339018
0.38 0.54 0.0536943820541455
0.385 0.54 0.0530950435151532
0.39 0.54 0.052510166003848
0.395 0.54 0.0519392336256032
0.4 0.54 0.0513817547843471
0.405 0.54 0.0508372607647707
0.41 0.54 0.0503053044130214
0.415 0.54 0.0497854589079527
0.42 0.54 0.0492773166157328
0.425 0.54 0.048780488021259
0.43 0.54 0.0482946007304108
0.435 0.54 0.0478192985377063
0.44 0.54 0.0473542405543895
0.445 0.54 0.0468991003924193
0.45 0.54 0.0464535654002028
0.455 0.54 0.0460173359462782
0.46 0.54 0.0455901247474577
0.465 0.54 0.0451716562382408
0.47 0.54 0.0447616659785555
0.475 0.54 0.044359900097136
0.48 0.54 0.0439661147680496
0.485 0.54 0.0435800757180871
0.49 0.54 0.0432015577629113
0.495 0.54 0.0428303443700168
0.5 0.54 0.0424662272467098
0.005 0.545 5.30537677963116e-05
0.01 0.545 8.21298476676424e-05
0.015 0.545 0.000128587660825727
0.02 0.545 0.000203226372195185
0.025 0.545 0.000323779331089749
0.03 0.545 0.00051946900206203
0.035 0.545 0.000838556927643335
0.04 0.545 0.0013607450105531
0.045 0.545 0.00221714261413455
0.05 0.545 0.00362113671435376
0.055 0.545 0.00591231393173172
0.06 0.545 0.00960818841034238
0.065 0.545 0.0154358902683623
0.07 0.545 0.0242697784503083
0.075 0.545 0.0368564311319589
0.08 0.545 0.0532849247228186
